bed,stg,Sbottom,Smid,Stop,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,MDS1,MDS2,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange
24d,30,-68,-48.5,-29,57,61,49,2,3,0,1,2,10,124,78,56.06850719,137,134,0.080291971,0.02189781,0.022215895,0.059908593,0.077558234,0.016000341,0.15123097,0.219053566,0.033447934,0.163993789,0.145711811,0.15415068,0.118644068,0.142857143,0.126293725,0.15415068,0.960784314,0.524193548
24e,31,-29,-24,-19,61,22,16,2,1,10,1,0,38,88,75,58.27255767,127,126,0.307086614,0.007874016,0.101314831,-0.072212205,0.358945092,0,1.338285142,0.318453731,0.915428291,0.278448397,0.810930216,0.233614851,0.555555556,0.125,0.810930216,0.133531393,0.888888889,0.409090909
25,32,-19,-16.5,-14,22,43,19,10,4,1,3,11,10,78,60,63.24787546,102,88,0.12745098,0.137254902,0.138452199,0.01672297,0.120627988,0.131927543,0.146603474,0.816761137,0.072495502,0.698978101,0.064538521,0.473784352,0,0.377358491,0,0.473784352,0.655172414,0.461538462
26,33,-14,-11,-8,43,41,26,2,8,2,4,14,24,65,79,58.75733222,107,89,0.261682243,0.168224299,0.163232946,0.009791689,0.3142491,0.195060583,0.503103578,0.455475529,0.348952898,0.032618678,0.405465108,0.177681177,0.311111111,0.139534884,0.372675285,0.150282203,0.928571429,0.569230769
27a,34,-8,-6,-4,41,42,30,5,1,6,10,14,11,68,75,60.43080054,103,79,0.203883495,0.233009709,0.194237068,0.022772248,0.149940147,0.187211542,0.312374685,0.336472237,0.220001365,0.262364264,0.11506933,0.266628663,0.108695652,0.170212766,0.11506933,0.186585956,0.857142857,0.588235294
27b,35,-4,-2,0,42,36,31,3,5,9,2,2,12,70,57,43.17599685,86,82,0.162790698,0.046511628,0.222293813,0.015036012,0.158224005,0.028170877,0.303682414,0.149531734,0.126751706,-0.004618946,0.045462374,0,0.044444444,0,0.045462374,0,0.911764706,0.585714286
27c,36,0,2,4,36,34,31,6,6,2,3,0,10,62,48,39.56685779,75,72,0.173333333,0.04,0.242319448,-0.018751319,0.149531734,0,0.149531734,0.09237332,0.095464513,-9.71E-17,0.074107972,-0.072320662,0,0,0,0,0.837837838,0.564516129
27d,37,4,6,8,34,22,18,1,3,4,1,1,19,43,49,35.72131765,64,62,0.3125,0.03125,0.274142502,-0.059518863,0.365934269,0.022989518,0.635988767,0.200670695,0.330607117,0.023739987,0.419853846,0.044451763,0.342857143,0.043478261,0.419853846,0.044451763,0.947368421,0.651162791
28,38,8,10,12,22,19,14,5,1,0,1,5,7,37,32,29.99340958,50,44,0.16,0.12,0.312057328,-0.081765002,0.173271721,0.126751706,0.451985124,0.30538165,0.451985124,0.251314428,0.351397887,0.182321557,0.111111111,0.125,0.117783036,0.133531393,0.736842105,0.513513514
29a,39,12,17,22,19,1,1,0,0,15,4,0,3,39,29,20.02849389,46,42,0.152173913,0.086956522,0.576966835,0.388336385,0.074107972,0,2.944438979,0,-4.44E-16,-0.30538165,0.171850257,0,0.157894737,0,0.171850257,0,1,0.564102564
