proxy,value,n_height,type
XThU,0.735,17,INT
XThU,1.2,27,INT
XThU,9.34,54.5,INT
XThU,27.3,81.5,INT
XThU,18,124,INT
XThU,78.4,164.5,INT
XThU,37.1,470,INT
XTOC,0.31,-4740,INT
XTOC,0.09,-4375,INT
XTOC,0.2,-4320,INT
XTOC,0.31,-4265,INT
XTOC,0.42,-4205,INT
XTOC,0.41,-4075,INT
XTOC,0.4,-3900,INT
XTOC,0.01,-3768,INT
XTOC,0.19,-3722,INT
XTOC,0.37,-3635,INT
XTOC,0.55,-3410,INT
XTOC,1.22,-3222,INT
XTOC,0.24,-2982,INT
XTOC,0.34,-2692,INT
XTOC,0.6,-2504,INT
XTOC,0.65,-2252,INT
XTOC,0.4,-2016,INT
XTOC,0.16,-1739,INT
XTOC,0.62,-1334,INT
XTOC,0.45,-1125,INT
XTOC,0.28,-1100,INT
XTOC,0.11,-880,INT
XTOC,0.19,-620,INT
XTOC,0.59,-502,INT
XTOC,0.32,-340,INT
XTOC,0.96,-204,INT
XTOC,0.41,-139,INT
XTOC,0.86,-101,INT
XTOC,1.08,-91,INT
XTOC,0.63,-77,INT
XTOC,1.14,-49,INT
XTOC,1.56,-24,INT
XTOC,0.24,-17,INT
XTOC,1.68,-11,INT
XTOC,0.54,-6,INT
XTOC,0.71,-2,INT
XTOC,0.76,2,INT
XTOC,0.72,6,INT
XTOC,1.44,10,INT
XTOC,0.44,17,INT
XTOC,0.79,27,INT
XTOC,0.95,55,INT
XTOC,0.81,82,INT
XTOC,0.99,124,INT
XZn,0.79,-1539,INT
XZn,0.803333333,-1129,INT
XZn,0.816666667,-1120,INT
XZn,0.83,-1080,INT
XZn,0.8,-680,INT
XZn,0.6266667,-560,INT
XZn,0.738,-443,INT
XZn,0.8333333,-236,INT
XZn,0.98,-171,INT
XZn,1.08,-106,INT
XZn,0.99,-96,INT
XZn,0.9475,-85,INT
XZn,0.905,-68,INT
XZn,0.85,-29,INT
XZn,0.8225,-19,INT
XZn,0.795,-14,INT
XZn,0.7675,-8,INT
XZn,0.74,-4,INT
XZn,0.6975,0,INT
XZn,0.655,4,INT
XZn,0.6125,8,INT
XZn,0.57,12,INT
XZn,0.445,22,INT
XZn,0.33875,32,INT
XZn,0.485,77,INT
XZn,0.905,86,INT
XZn,0.84,162,INT
XZn,0.82125,167,INT
OCe,-0.2,-4740,PMM
OCe,-0.17,-4375,PMM
OCe,-0.2,-4320,PMM
OCe,-0.16,-4265,PMM
OCe,-0.118,-4205,PMM
OCe,-0.136,-4075,PMM
OCe,-0.28,-3900,PMM
OCe,-0.23,-3767.5,PMM
OCe,-0.01,-3721.5,PMM
OCe,-0.07,-3634.5,PMM
OCe,-0.13,-3409.5,PMM
OCe,-0.22,-3221.5,PMM
