"","bed","XTOC","XThU","XZn","XS33","XS34","OCe","XSr","XOs","XO","XN","XLi","XHg","XFeHr","XFePy","XCd","XCa","XCorg","Xccarb"
"30","24b",1.08,16.716,0.99,-0.0151841,-6.26,-0.142,0.707129,6.67,20.6,2.17,12.4,224.518952380952,0.6645,0.544,0.445,-0.76,-28.42,3.395
"31","24c",0.63,0.04,0.734583333333333,0.067740268,-27.7,-0.14,0.707106,10.55,21.0733333333333,1.74,3.42051282051282,218.52,0.6044,0.692,0.31,-0.8,-29.235,3.146
"32","24d",1.1375,4.506,0.905,0.0383797377777778,-24.9611111111111,-0.054,0.70716,6.3425,20.994,1.836,8.4,62.8633333333333,0.775,0.5775,0.275,-0.733333333333333,-28.6966666666667,2.6086
"33","24e",1.56,5.568,0.85,0.000182832000000001,-15.065,-0.114,0.707121,3.1,20.99,1.175,9.65,616.562222222222,0.6825,0.673333333333333,0.266666666666667,-0.86,-28.5375,1.414
"34","25",0.24,2.14,0.61185,0.077328311,-24.048,-0.13,0.70707,3.55,21.06,1.44,0.3,231.847142857143,0.66,0.626666666666667,0.47,-0.72,-28.285,1.5616
"35","26",1.68,0.4,0.7996,0.059514233,-28.964,-0.1,0.70717,4.44,20.09,2.22,0.533333333333333,334.053333333333,0.61,0.765,-0.03,-0.75,-29.948,-0.590545454545455
"36","27a",0.54,0.174,0.730333333333333,0.0544198640666667,-28.7084444444444,-0.15,0.707095666666667,1.64,19.04,0.03,0.967179487179487,229.25,0.63,0.76,0.06,-0.86,-30.544,-0.317428571428571
"37","27b",0.71,0.086,0.74,0.101080832,-34.6,-0.102,0.707090666666667,1.93,18.9866666666667,1.64133333333333,3.43384615384615,320.6,0.74,0.7,0,-0.802,-26.0066666666667,0.169181818181818
"38","27c",0.76,0.32,0.729333333333333,0.070264556,-31.2,-0.13,0.70717,1.33,18.745,1.408,9.3,147.14,0.76,0.63,0.08,-0.95,-26.04,0.373625
"39","27d",0.72,0.28,0.723,0.0652057810333333,-29.004,-0.14,0.70708,3.4505,18.88,0.26,2.36435897435897,93,0.78,0.66,-0.26,-0.852,-25.815,0.549444444444444
"40","28",1.44,0.27,0.781933333333333,0.0588970835,-23.2636222222222,-0.19,0.70709,4.2205,18.4633333333333,1.76,7.94142857142857,236.242190476191,0.69,0.745,-0.23,-0.83,-25.2,0.6745
"41","29a",0.44,4.502,0.57,0.0048095755,-24.56,-0.122,0.707127,2.37,18.57,1.119,6.8,80.87,0.4,0.69,-0.05,-0.79,-26.9,0.6351
"42","29b",0.79,1.2,0.445,0.082710462,-29.23,-0.2,0.707144,5.643,19.155,1.45666666666667,1.17578754578755,193,0.56,0.85,-0.29,-0.69,-25.545,0.643
"43","30",0.95,9.34,0.33875,0.0803888216666667,-31.1466666666667,-0.16,0.70716,4.696,18.2916666666667,0.21,3.7,402.585,0.612,0.624,0.0166666666666667,-0.75,-28.6616666666667,0.485
"44","31",0.813333333333333,27.3,0.485,0.080235443,-32.37,-0.01,0.707091,4.4005,18.5603333333333,1.572,4.4,324.080888888889,0.5925,0.5025,-0.08,-0.818,-25.54,0.188469155844156
"45","32",0.9925,18,0.905,0.056924615,-30.41,-0.01,0.707205,1.315,18.19,1.00666666666667,1.55714285714286,284.554428571429,0.50375,0.5425,-0.195,-0.772,-27.458,0.206
"46","33",0.724,78.4,0.84,0.0434658104,-18.607,-0.18,0.707107,6.247,19.3463333333333,1.55,4.71,266.803857142857,0.46,0.54,0.208333333333333,-0.744,-25.855,2.77914848484848
"47","34",0.6045,37.1,0.82125,0.03817772005,-24.3266388888889,-0.01,0.707363333333333,1.2825,18.71,1.673,1.26923076923077,228.471095238095,0.467368421052632,0.46,-0.109666666666667,-0.802,-26.2,-0.988285714285714
"48","35",0.8665,33.1,0.596083333333333,0.0401947813555556,-18.6426,0.03,0.707145,2.8305,18.6606666666667,1.12033333333333,1.25,331.443111111111,0.41,0.24,-0.069,-0.772,-25.932,-0.964
"49","36",0.7565,22.3,0.523,0.0263496975333333,-29.2873333333333,0.04,0.707120666666667,2.5055,19.205,2.305,8.3,223.127666666667,0.5025,0.4405,-0.054,-0.848,-25,-0.536
"50","37",1.111,2.27,0.721583333333333,0.0407714405333333,-28.86175,0,0.707145,1.9365,20.0413333333333,2.319,7.16,191.113428571429,0.508973684210526,0.5495,0.029,-0.776666666666667,-27.1265,0.792
"51","38",0.595666666666667,0.368,0.673333333333333,0.03375530115,-29.6235555555556,-0.104,0.707089,2.642,20.6313333333333,2.32,5.69051282051282,110.574,0.6144,0.6413,0.279,-0.792,-27.604,1.84770952380952
"52","39",0.72,2.35,0.608083333333333,0.0654559674277778,-22.4043777777778,-0.132,0.707123,4.347,19.7976666666667,2.091,7.056,261.725095238095,0.6184,0.6113,0.096,-0.712666666666667,-26.643,1.79138666666667
"53","40",0.8605,5.506,0.708333333333333,0.0527350002,-30.3890833333333,-0.104,0.707097,4.3985,19.117,1.75333333333333,2.67384615384615,216.573,0.530623684210526,0.644,0.00866666666666667,-0.82,-27.7406,0.666
"54","41",0.6936,13.77,0.671083333333333,0.0338331316055556,-23.8824611111111,-0.096,0.707071666666667,2.5675,20.0193333333333,2.258,6.46369230769231,277.632,0.551473684210526,0.566,0.159333333333333,-0.835333333333333,-26.7681666666667,1.014
"55","42",0.8501,0.218,0.848,0.0509215445944444,-28.3108,-0.09,0.707107,6.613,20.88,2.19933333333333,4.23753846153846,105.746,0.6253,0.6405,0.155333333333333,-0.73,-28.517,1.824
"56","43",0.7421,4.532,0.617916666666667,0.0356760957555556,-26.1866666666667,-0.096,0.707121,4.659,19.364,1.66333333333333,7.71,206.833111111111,0.61865,0.545333333333333,0.203,-0.836,-27.5496,1.39568888888889
"57","44",0.717,5.512,0.66635,0.04893981285,-19.1973777777778,-0.078,0.707132,2.6615,20.0273333333333,2.867,6.94584615384615,183.344,0.6774,0.5038,0.207,-0.781333333333333,-24.4,2.303
"58","45",0.42,0.038,0.75125,0.0547849510555556,-26.8425333333333,-0.172,0.707158,4.86,20.8054666666667,1.99166666666667,4.42384615384615,196.862666666667,0.7364,0.6105,0.336,-0.718,-28.4156,2.468
"59","46",0.693333333333333,0.142,0.8226,0.06534600065,-29.2113333333333,-0.024,0.707113,3.277,20.4026666666667,1.41233333333333,4.02527472527473,136.398095238095,0.722,0.4993,0.216666666666667,-0.684,-27.4376,2.419
"60","47",0.483,4.556,0.681,0.0754826290888889,-29.0496,-0.088,0.707121,5.2845,20.8138,2.75033333333333,4.06809523809524,146.922,0.733,0.641,0.422,-0.753333333333333,-27.0036,2.38438666666667
"61","48",0.781333333333333,0.054,0.611416666666667,0.036553824,-27.1291111111111,-0.158,0.70712,2.4495,20.007,1.31,4.76342857142857,177.75,0.642473684210526,0.524,0.199666666666667,-0.752,-27.9373333333333,1.93452063492063
"62","49",1.182,0.068,0.884333333333333,0.0567233815888889,-28.7013333333333,-0.03,0.707130666666667,4.2325,20.5873333333333,2.087,3.42051282051282,236.608428571429,0.60725,0.6215,0.169,-0.729333333333333,-27.684,2.52
